# jdk-baseline	2
# kind	class
# name	java.security.KeyStore
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/java/security/KeyStore.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	30
# protected-methods	0
# declared-methods	33
# declared-fields	8
# rows	45
# columns	kind	name	descriptor	flags
CLASS	java.security.KeyStore		public
EXTENDS	java.lang.Object		
SUPERTYPE	java.lang.Object		
METHOD	<clinit>	()V	static
METHOD	<init>	(Ljava/security/KeyStoreSpi;Ljava/security/Provider;Ljava/lang/String;)V	protected
METHOD	aliases	()Ljava/util/Enumeration;	public,final
METHOD	containsAlias	(Ljava/lang/String;)Z	public,final
METHOD	deleteEntry	(Ljava/lang/String;)V	public,final
METHOD	entryInstanceOf	(Ljava/lang/String;Ljava/lang/Class;)Z	public,final
METHOD	getAttributes	(Ljava/lang/String;)Ljava/util/Set;	public,final
METHOD	getCertificate	(Ljava/lang/String;)Ljava/security/cert/Certificate;	public,final
METHOD	getCertificateAlias	(Ljava/security/cert/Certificate;)Ljava/lang/String;	public,final
METHOD	getCertificateChain	(Ljava/lang/String;)[Ljava/security/cert/Certificate;	public,final
METHOD	getCreationDate	(Ljava/lang/String;)Ljava/util/Date;	public,final
METHOD	getDefaultType	()Ljava/lang/String;	public,static,final
METHOD	getEntry	(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;	public,final
METHOD	getInstance	(Ljava/io/File;Ljava/security/KeyStore$LoadStoreParameter;)Ljava/security/KeyStore;	public,static,final
METHOD	getInstance	(Ljava/io/File;[C)Ljava/security/KeyStore;	public,static,final
METHOD	getInstance	(Ljava/io/File;[CLjava/security/KeyStore$LoadStoreParameter;Z)Ljava/security/KeyStore;	private,static,final
METHOD	getInstance	(Ljava/lang/String;)Ljava/security/KeyStore;	public,static
METHOD	getInstance	(Ljava/lang/String;Ljava/lang/String;)Ljava/security/KeyStore;	public,static
METHOD	getInstance	(Ljava/lang/String;Ljava/security/Provider;)Ljava/security/KeyStore;	public,static
METHOD	getKey	(Ljava/lang/String;[C)Ljava/security/Key;	public,final
METHOD	getProvider	()Ljava/security/Provider;	public,final
METHOD	getProviderName	()Ljava/lang/String;	private
METHOD	getType	()Ljava/lang/String;	public,final
METHOD	isCertificateEntry	(Ljava/lang/String;)Z	public,final
METHOD	isKeyEntry	(Ljava/lang/String;)Z	public,final
METHOD	load	(Ljava/io/InputStream;[C)V	public,final
METHOD	load	(Ljava/security/KeyStore$LoadStoreParameter;)V	public,final
METHOD	setCertificateEntry	(Ljava/lang/String;Ljava/security/cert/Certificate;)V	public,final
METHOD	setEntry	(Ljava/lang/String;Ljava/security/KeyStore$Entry;Ljava/security/KeyStore$ProtectionParameter;)V	public,final
METHOD	setKeyEntry	(Ljava/lang/String;Ljava/security/Key;[C[Ljava/security/cert/Certificate;)V	public,final
METHOD	setKeyEntry	(Ljava/lang/String;[B[Ljava/security/cert/Certificate;)V	public,final
METHOD	size	()I	public,final
METHOD	store	(Ljava/io/OutputStream;[C)V	public,final
METHOD	store	(Ljava/security/KeyStore$LoadStoreParameter;)V	public,final
FIELD	KEYSTORE_TYPE	Ljava/lang/String;	private,static,final
FIELD	initialized	Z	private
FIELD	kdebug	Lsun/security/util/Debug;	private,static,final
FIELD	keyStoreSpi	Ljava/security/KeyStoreSpi;	private,final
FIELD	pdebug	Lsun/security/util/Debug;	private,static,final
FIELD	provider	Ljava/security/Provider;	private,final
FIELD	skipDebug	Z	private,static,final
FIELD	type	Ljava/lang/String;	private,final
