# jdk-baseline	1
# kind	class
# name	javax.crypto.Mac
# module	java.base
# java.version	25.0.3
# java.vm.version	25.0.3+9-LTS
# java.vendor.version	Microsoft-13877124
# source	jrt:/modules/java.base/javax/crypto/Mac.class
# generator	scripts/jdk-baseline/generate.py
# regenerate	python scripts/jdk-baseline/generate.py --update
# public-methods	17
# protected-methods	0
# rows	23
# columns	kind	name	descriptor	flags
CLASS	javax.crypto.Mac		public
EXTENDS	java.lang.Object		
IMPLEMENTS	java.lang.Cloneable		
SUPERTYPE	java.lang.Cloneable		
SUPERTYPE	java.lang.Object		
METHOD	<init>	(Ljavax/crypto/MacSpi;Ljava/security/Provider;Ljava/lang/String;)V	protected
METHOD	clone	()Ljava/lang/Object;	public,final
METHOD	doFinal	()[B	public,final
METHOD	doFinal	([B)[B	public,final
METHOD	doFinal	([BI)V	public,final
METHOD	getAlgorithm	()Ljava/lang/String;	public,final
METHOD	getInstance	(Ljava/lang/String;)Ljavax/crypto/Mac;	public,static,final
METHOD	getInstance	(Ljava/lang/String;Ljava/lang/String;)Ljavax/crypto/Mac;	public,static,final
METHOD	getInstance	(Ljava/lang/String;Ljava/security/Provider;)Ljavax/crypto/Mac;	public,static,final
METHOD	getMacLength	()I	public,final
METHOD	getProvider	()Ljava/security/Provider;	public,final
METHOD	init	(Ljava/security/Key;)V	public,final
METHOD	init	(Ljava/security/Key;Ljava/security/spec/AlgorithmParameterSpec;)V	public,final
METHOD	reset	()V	public,final
METHOD	update	(B)V	public,final
METHOD	update	(Ljava/nio/ByteBuffer;)V	public,final
METHOD	update	([B)V	public,final
METHOD	update	([BII)V	public,final
